make,model,year,source,license,url,local_path
Hyundai,i20,2025,placeholder,N/A,,Hyundai/i20/ph_01.png
Hyundai,i30,2025,placeholder,N/A,,Hyundai/i30/ph_01.png
Infiniti,Q30,2025,placeholder,N/A,,Infiniti/Q30/ph_01.png
Infiniti,Q50,2025,placeholder,N/A,,Infiniti/Q50/ph_01.png
Infiniti,QX50,2025,placeholder,N/A,,Infiniti/QX50/ph_01.png
JAC,E-JS4,2025,placeholder,N/A,,JAC/E-JS4/ph_01.png
JAC,E10X,2025,placeholder,N/A,,JAC/E10X/ph_01.png
Jaguar,E-Pace,2025,placeholder,N/A,,Jaguar/E-Pace/ph_01.png
Jaguar,F-Pace,2025,placeholder,N/A,,Jaguar/F-Pace/ph_01.png
Jaguar,I-Pace,2025,placeholder,N/A,,Jaguar/I-Pace/ph_01.png
Jeep,Cherokee,2025,placeholder,N/A,,Jeep/Cherokee/ph_01.png
Jeep,Compass,2025,placeholder,N/A,,Jeep/Compass/ph_01.png
Jeep,Renegade,2025,placeholder,N/A,,Jeep/Renegade/ph_01.png
Jeep,Wrangler,2025,placeholder,N/A,,Jeep/Wrangler/ph_01.png
Kia,Cerato,2025,placeholder,N/A,,Kia/Cerato/ph_01.png
Kia,EV6,2025,placeholder,N/A,,Kia/EV6/ph_01.png
Kia,Picanto,2025,placeholder,N/A,,Kia/Picanto/ph_01.png
Kia,Rio,2025,placeholder,N/A,,Kia/Rio/ph_01.png
Kia,Sorento,2025,placeholder,N/A,,Kia/Sorento/ph_01.png
Kia,Sportage,2025,placeholder,N/A,,Kia/Sportage/ph_01.png
Kia,Stonic,2025,placeholder,N/A,,Kia/Stonic/ph_01.png
Land Rover,Defender,2025,placeholder,N/A,,Land_Rover/Defender/ph_01.png
Land Rover,Discovery Sport,2025,placeholder,N/A,,Land_Rover/Discovery_Sport/ph_01.png
Land Rover,Range Rover Evoque,2025,placeholder,N/A,,Land_Rover/Range_Rover_Evoque/ph_01.png
Lexus,ES,2025,placeholder,N/A,,Lexus/ES/ph_01.png
Lexus,NX,2025,placeholder,N/A,,Lexus/NX/ph_01.png
Lexus,RX,2025,placeholder,N/A,,Lexus/RX/ph_01.png
Lexus,UX,2025,placeholder,N/A,,Lexus/UX/ph_01.png
MG,HS,2025,placeholder,N/A,,MG/HS/ph_01.png
MG,MG4,2025,placeholder,N/A,,MG/MG4/ph_01.png
MG,MG5,2025,placeholder,N/A,,MG/MG5/ph_01.png
MG,ZS,2025,placeholder,N/A,,MG/ZS/ph_01.png
Mazda,2,2025,placeholder,N/A,,Mazda/2/ph_01.png
Mazda,3,2025,placeholder,N/A,,Mazda/3/ph_01.png
Mazda,6,2025,placeholder,N/A,,Mazda/6/ph_01.png
Mazda,CX-30,2025,placeholder,N/A,,Mazda/CX-30/ph_01.png
Mazda,CX-5,2025,placeholder,N/A,,Mazda/CX-5/ph_01.png
Mazda,MX-30,2025,placeholder,N/A,,Mazda/MX-30/ph_01.png
Mercedes-Benz,A-Class,2025,placeholder,N/A,,Mercedes-Benz/A-Class/ph_01.png
Mercedes-Benz,C-Class,2025,placeholder,N/A,,Mercedes-Benz/C-Class/ph_01.png
Mercedes-Benz,EQB,2025,placeholder,N/A,,Mercedes-Benz/EQB/ph_01.png
Mercedes-Benz,EQE,2025,placeholder,N/A,,Mercedes-Benz/EQE/ph_01.png
Mercedes-Benz,GLA,2025,placeholder,N/A,,Mercedes-Benz/GLA/ph_01.png
Mercedes-Benz,GLC,2025,placeholder,N/A,,Mercedes-Benz/GLC/ph_01.png
Mini,Clubman,2025,placeholder,N/A,,Mini/Clubman/ph_01.png
Mini,Cooper,2025,placeholder,N/A,,Mini/Cooper/ph_01.png
Mini,Countryman,2025,placeholder,N/A,,Mini/Countryman/ph_01.png
Mitsubishi,ASX,2025,placeholder,N/A,,Mitsubishi/ASX/ph_01.png
Mitsubishi,Eclipse Cross,2025,placeholder,N/A,,Mitsubishi/Eclipse_Cross/ph_01.png
Mitsubishi,Outlander,2025,placeholder,N/A,,Mitsubishi/Outlander/ph_01.png
Mitsubishi,Space Star,2025,placeholder,N/A,,Mitsubishi/Space_Star/ph_01.png
Nissan,Ariya,2025,placeholder,N/A,,Nissan/Ariya/ph_01.png
Nissan,Juke,2025,placeholder,N/A,,Nissan/Juke/ph_01.png
Nissan,Leaf,2025,placeholder,N/A,,Nissan/Leaf/ph_01.png
Nissan,Micra,2025,placeholder,N/A,,Nissan/Micra/ph_01.png
Nissan,Qashqai,2025,placeholder,N/A,,Nissan/Qashqai/ph_01.png
Nissan,X-Trail,2025,placeholder,N/A,,Nissan/X-Trail/ph_01.png
Opel,Astra,2025,placeholder,N/A,,Opel/Astra/ph_01.png
Opel,Corsa,2025,placeholder,N/A,,Opel/Corsa/ph_01.png
Opel,Grandland,2025,placeholder,N/A,,Opel/Grandland/ph_01.png
Opel,Mokka,2025,placeholder,N/A,,Opel/Mokka/ph_01.png
Peugeot,2008,2025,placeholder,N/A,,Peugeot/2008/ph_01.png
